Title,Location,Link,Description
"Tupande Zone SupervisorMeru, Kenya","Meru, Kenya",https://job-boards.greenhouse.io/oafkenya/jobs/7916728,
"Tupande Zone Supervisor - RiftMawingu, Kenya","Mawingu, Kenya",https://job-boards.greenhouse.io/oafkenya/jobs/7925077,
"Tupande Biochar Production Coordinator (Fixed-Term)Sagana, Kenya","Sagana, Kenya",https://job-boards.greenhouse.io/oafkenya/jobs/7957891,
"Tupande Boiler Operator (Macadamia Unit) -[Fixed-Term]Sagana, Kenya","Sagana, Kenya",https://job-boards.greenhouse.io/oafkenya/jobs/7774411,
"Tupande Laboratory Technician (Fixed-Term)Sagana, Kenya","Sagana, Kenya",https://job-boards.greenhouse.io/oafkenya/jobs/7937382,
"Tupande Microbiology Senior Coordinator (Fixed-Term)Sagana, Kenya","Sagana, Kenya",https://job-boards.greenhouse.io/oafkenya/jobs/7938430,
"Tupande Production Supervisor (Fixed-Term)NewSagana, Kenya","Sagana, Kenya",https://job-boards.greenhouse.io/oafkenya/jobs/7965503,
"Tupande Soko Weighbridge Operator (Fixed-Term)Sagana, Kenya","Sagana, Kenya",https://job-boards.greenhouse.io/oafkenya/jobs/7949439,
"Tupande MEL Data Senior SupervisorKakamega, Kenya","Kakamega, Kenya",https://job-boards.greenhouse.io/oafkenya/jobs/7948452,
"Tupande Procurement Senior Coordinator - BU SupportKakamega, Kenya","Kakamega, Kenya",https://job-boards.greenhouse.io/oafkenya/jobs/7842464,
"Tupande Zone Supervisor - NyanzaNyanza, Kenya","Nyanza, Kenya",https://job-boards.greenhouse.io/oafkenya/jobs/7809856,
